575.00	0.251
575.50	0.252
576.00	0.253
576.50	0.252
577.00	0.253
577.50	0.253
578.00	0.254
578.50	0.255
579.00	0.254
579.50	0.254
580.00	0.255
580.50	0.257
581.00	0.257
581.50	0.258
582.00	0.257
582.50	0.257
583.00	0.257
583.50	0.259
584.00	0.259
584.50	0.259
585.00	0.258
585.50	0.261
586.00	0.261
586.50	0.260
587.00	0.260
587.50	0.262
588.00	0.262
588.50	0.262
589.00	0.263
589.50	0.263
590.00	0.263
590.50	0.264
591.00	0.265
591.50	0.264
592.00	0.266
592.50	0.265
593.00	0.266
593.50	0.267
594.00	0.266
594.50	0.267
595.00	0.268
595.50	0.268
596.00	0.269
596.50	0.268
597.00	0.268
597.50	0.270
598.00	0.270
598.50	0.269
599.00	0.269
599.50	0.271
600.00	0.271
600.50	0.271
601.00	0.272
601.50	0.273
602.00	0.272
602.50	0.273
603.00	0.273
603.50	0.274
604.00	0.274
604.50	0.274
605.00	0.274
605.50	0.276
606.00	0.275
606.50	0.275
607.00	0.276
607.50	0.277
608.00	0.276
608.50	0.277
609.00	0.277
609.50	0.278
610.00	0.279
610.50	0.279
611.00	0.279
611.50	0.279
612.00	0.281
612.50	0.280
613.00	0.281
613.50	0.282
614.00	0.284
614.50	0.283
615.00	0.284
615.50	0.285
616.00	0.285
616.50	0.286
617.00	0.286
617.50	0.287
618.00	0.288
618.50	0.289
619.00	0.289
619.50	0.289
620.00	0.291
620.50	0.292
621.00	0.292
621.50	0.293
622.00	0.295
622.50	0.294
623.00	0.295
623.50	0.296
624.00	0.297
624.50	0.299
625.00	0.299
625.50	0.300
626.00	0.302
626.50	0.302
627.00	0.302
627.50	0.304
628.00	0.304
628.50	0.305
629.00	0.306
629.50	0.307
630.00	0.307
630.50	0.308
631.00	0.309
631.50	0.310
632.00	0.310
632.50	0.311
633.00	0.311
633.50	0.314
634.00	0.313
634.50	0.313
635.00	0.314
635.50	0.315
636.00	0.315
636.50	0.316
637.00	0.315
637.50	0.316
638.00	0.317
638.50	0.317
639.00	0.318
639.50	0.317
640.00	0.317
640.50	0.318
641.00	0.319
641.50	0.320
642.00	0.319
642.50	0.319
643.00	0.319
643.50	0.320
644.00	0.319
644.50	0.319
645.00	0.320
645.50	0.320
646.00	0.319
646.50	0.321
647.00	0.320
647.50	0.320
648.00	0.319
648.50	0.320
649.00	0.321
649.50	0.320
650.00	0.320
650.50	0.320
651.00	0.321
651.50	0.322
652.00	0.321
652.50	0.322
653.00	0.321
653.50	0.321
654.00	0.323
654.50	0.322
655.00	0.323
655.50	0.323
656.00	0.324
656.50	0.325
657.00	0.325
657.50	0.325
658.00	0.325
658.50	0.326
659.00	0.327
659.50	0.328
660.00	0.328
660.50	0.328
661.00	0.330
661.50	0.330
662.00	0.331
662.50	0.331
663.00	0.332
663.50	0.332
664.00	0.333
664.50	0.335
665.00	0.336
665.50	0.336
666.00	0.338
666.50	0.339
667.00	0.339
667.50	0.340
668.00	0.342
668.50	0.343
669.00	0.342
669.50	0.343
670.00	0.344
670.50	0.345
671.00	0.346
671.50	0.346
672.00	0.347
672.50	0.349
673.00	0.350
673.50	0.350
674.00	0.350
674.50	0.351
675.00	0.352
675.50	0.353
676.00	0.353
676.50	0.353
677.00	0.354
677.50	0.354
678.00	0.355
678.50	0.357
679.00	0.356
679.50	0.357
680.00	0.356
680.50	0.357
681.00	0.359
681.50	0.359
682.00	0.360
682.50	0.360
683.00	0.360
683.50	0.360
684.00	0.360
684.50	0.361
685.00	0.361
685.50	0.362
686.00	0.362
686.50	0.363
687.00	0.363
687.50	0.364
688.00	0.364
688.50	0.364
689.00	0.366
689.50	0.365
690.00	0.368
690.50	0.368
691.00	0.368
691.50	0.368
692.00	0.370
692.50	0.369
693.00	0.371
693.50	0.372
694.00	0.373
694.50	0.372
695.00	0.375
695.50	0.376
696.00	0.377
696.50	0.377
697.00	0.379
697.50	0.381
698.00	0.382
698.50	0.382
699.00	0.385
699.50	0.386
700.00	0.387
700.50	0.389
701.00	0.391
701.50	0.394
702.00	0.394
702.50	0.396
703.00	0.399
703.50	0.401
704.00	0.403
704.50	0.406
705.00	0.409
705.50	0.412
706.00	0.414
706.50	0.416
707.00	0.420
707.50	0.423
708.00	0.427
708.50	0.429
709.00	0.434
709.50	0.438
710.00	0.442
710.50	0.445
711.00	0.449
711.50	0.455
712.00	0.458
712.50	0.463
713.00	0.469
713.50	0.473
714.00	0.478
714.50	0.485
715.00	0.491
715.50	0.496
716.00	0.503
716.50	0.509
717.00	0.516
717.50	0.523
718.00	0.528
718.50	0.535
719.00	0.544
719.50	0.550
720.00	0.559
720.50	0.566
721.00	0.575
721.50	0.584
722.00	0.591
722.50	0.600
723.00	0.609
723.50	0.618
724.00	0.628
724.50	0.637
725.00	0.646
725.50	0.656
726.00	0.665
726.50	0.675
727.00	0.684
727.50	0.695
728.00	0.705
728.50	0.715
729.00	0.726
729.50	0.735
730.00	0.745
730.50	0.756
731.00	0.767
731.50	0.779
732.00	0.788
732.50	0.799
733.00	0.810
733.50	0.820
734.00	0.830
734.50	0.841
735.00	0.853
735.50	0.863
736.00	0.871
736.50	0.881
737.00	0.891
737.50	0.900
738.00	0.909
738.50	0.918
739.00	0.927
739.50	0.934
740.00	0.940
740.50	0.949
741.00	0.955
741.50	0.962
742.00	0.966
742.50	0.973
743.00	0.977
743.50	0.981
744.00	0.986
744.50	0.989
745.00	0.990
745.50	0.994
746.00	0.995
746.50	0.996
747.00	0.997
747.50	0.997
748.00	0.996
748.50	0.995
749.00	0.992
749.50	0.988
750.00	0.986
750.50	0.982
751.00	0.979
751.50	0.975
752.00	0.969
752.50	0.964
753.00	0.956
753.50	0.949
754.00	0.942
754.50	0.935
755.00	0.925
755.50	0.917
756.00	0.908
756.50	0.898
757.00	0.889
757.50	0.878
758.00	0.867
758.50	0.856
759.00	0.846
759.50	0.834
760.00	0.821
760.50	0.810
761.00	0.798
761.50	0.785
762.00	0.772
762.50	0.760
763.00	0.746
763.50	0.734
764.00	0.720
764.50	0.707
765.00	0.695
765.50	0.680
766.00	0.667
766.50	0.655
767.00	0.641
767.50	0.628
768.00	0.615
768.50	0.602
769.00	0.587
769.50	0.573
770.00	0.560
770.50	0.546
771.00	0.535
771.50	0.523
772.00	0.510
772.50	0.497
773.00	0.485
773.50	0.473
774.00	0.463
774.50	0.450
775.00	0.438
775.50	0.428
776.00	0.418
776.50	0.407
777.00	0.398
777.50	0.389
778.00	0.379
778.50	0.370
779.00	0.360
779.50	0.353
780.00	0.344
780.50	0.336
781.00	0.329
781.50	0.321
782.00	0.313
782.50	0.308
783.00	0.301
783.50	0.294
784.00	0.289
784.50	0.282
785.00	0.279
785.50	0.273
786.00	0.267
786.50	0.263
787.00	0.258
787.50	0.254
788.00	0.250
788.50	0.246
789.00	0.242
789.50	0.239
790.00	0.235
790.50	0.232
791.00	0.227
791.50	0.226
792.00	0.222
792.50	0.221
793.00	0.219
