Sample1	F1	F2	F3	F4	F5	F6
395.9446106	0.005096552	0.05600423	0.003864601	0.012499681	0.008135187	0.010750707
395.0166321	0.00549634	0.057088476	0.004156796	0.012582092	0.008311912	0.010958444
393.9338074	0.005602133	0.058536485	0.004571991	0.012582145	0.008468516	0.010868431
393.0055237	0.005606513	0.059755534	0.004633916	0.012917252	0.008449828	0.010936437
392.0770874	0.005501872	0.061171498	0.004978601	0.012977872	0.008460492	0.011116324
390.9937744	0.005856352	0.062714487	0.005441343	0.013144518	0.00873361	0.01137156
390.0650635	0.005799263	0.063857794	0.005455315	0.013274823	0.008741666	0.011388089
388.9813843	0.005618129	0.065084979	0.00561944	0.013173282	0.00857031	0.011322696
388.0523682	0.005806032	0.066824853	0.005989947	0.013373452	0.008789342	0.011449877
386.9683838	0.005787537	0.068563364	0.006363449	0.013191	0.00893214	0.011620246
386.039093	0.005623216	0.07025405	0.006641402	0.013408959	0.00884598	0.011523715
384.9547424	0.005751126	0.072360881	0.007149391	0.013536726	0.009001746	0.011744616
384.0251465	0.005979213	0.074189007	0.007482464	0.013662794	0.009266398	0.011785015
382.9404602	0.005794961	0.076151386	0.007768618	0.013636136	0.009291918	0.011863141
382.0105896	0.00587157	0.078615807	0.008267876	0.013901223	0.009332937	0.011949848
380.9255676	0.005623688	0.080798961	0.008426681	0.013695519	0.009159947	0.011806588
379.9954224	0.005787222	0.083156183	0.009110194	0.013794671	0.009419987	0.012080913
379.0651245	0.005680728	0.084761575	0.009339152	0.014050149	0.009303236	0.012133324
377.9796143	0.005807973	0.086834669	0.009611765	0.013958397	0.009335582	0.012135959
377.0490417	0.006034593	0.088767342	0.010083314	0.014190809	0.009674889	0.012344147
375.9631958	0.00586459	0.090222768	0.010262742	0.014222022	0.009632409	0.012367531
375.0323486	0.005772689	0.091383457	0.010330547	0.014210254	0.009566406	0.012274829
373.946167	0.005931765	0.092585385	0.01070247	0.014343153	0.009684444	0.012551422
373.0150452	0.005841974	0.093437798	0.010863733	0.014364826	0.009681665	0.012609726
371.9285278	0.005800627	0.094486512	0.011081722	0.014660425	0.009824227	0.012674619
370.9971313	0.006150862	0.095351622	0.011443897	0.014802996	0.01018811	0.012800411
370.0655823	0.006050263	0.095997356	0.011711053	0.015116155	0.010203348	0.013105218
368.9786072	0.006105154	0.096746698	0.011750519	0.015129691	0.010199665	0.013201994
368.0467834	0.006084887	0.097061656	0.011759828	0.015183328	0.010258157	0.013289956
366.9594727	0.00632137	0.097631112	0.01195054	0.015407734	0.010266081	0.013326764
366.0273743	0.006562265	0.097995177	0.012363482	0.015587336	0.010509441	0.013595135
364.9397583	0.006501168	0.097910516	0.012420482	0.015650181	0.010502917	0.013642145
364.0073853	0.006172208	0.097537868	0.012261728	0.015552644	0.010513233	0.013550293
363.0748901	0.006213012	0.097131029	0.012370886	0.015919508	0.010579963	0.013737705
361.9868164	0.006377713	0.096883051	0.01253842	0.015865458	0.010846721	0.013780963
361.0540466	0.006298073	0.095795266	0.012414142	0.015707023	0.010800835	0.01367754
